o_iti_it bp fp     mu             rho                  LogCost              OptError             Error Reg   Step  Upt
   1   0  0 11 1.0000          1.0000                  -3.3736             4611.3582        31211.5960   0 0.0010    0
 106  47  0  0 0.0400        100.0000                 344.4152              197.1925            0.0001   1 0.0039  103
 107  48  0  0 0.0400        100.0000                 344.1538              196.4222            0.0001   1 0.0039  104
 108  49  0  0 0.0400        100.0000                 343.6341              195.6549            0.0001   1 0.0078  105
 109  50  0  0 0.0400        100.0000                 343.3779              194.1264            0.0001   1 0.0039  106
 110  51  0  0 0.0400        100.0000                 343.1233              193.3681            0.0001   1 0.0039  107
 111  52  0  0 0.0400        100.0000                 342.8704              192.6127            0.0001   1 0.0039  108
 112  53  0  0 0.0400        100.0000                 342.6192              191.8603            0.0001   1 0.0039  109
 113  54  0  0 0.0400        100.0000                 342.1195              191.1109            0.0001   1 0.0078  110
 114  55  0  0 0.0400        100.0000                 341.8729              189.6178            0.0001   1 0.0039  111
 115  56  0  0 0.0400        100.0000                 341.6279              188.8771            0.0001   1 0.0039  112
 116  57  0  0 0.0400        100.0000                 341.3845              188.1393            0.0001   1 0.0039  113
 117  58  0  0 0.0400        100.0000                 341.1425              187.4044            0.0001   1 0.0039  114
 118  59  0  0 0.0400        100.0000                 340.6612              186.6724            0.0001   1 0.0078  115
 119  60  0  0 0.0400        100.0000                 340.4236              185.2140            0.0001   1 0.0039  116
 120  61  0  0 0.0400        100.0000                 340.1874              184.4905            0.0001   1 0.0039  117
 121  62  0  0 0.0400        100.0000                 339.7176              183.7698            0.0001   1 0.0078  118
 122  63  0  0 0.0400        100.0000                 339.4856              182.3341            0.0001   1 0.0039  119
 123  64  0  0 0.0400        100.0000                 339.2549              181.6219            0.0001   1 0.0039  120
 124  65  0  0 0.0400        100.0000                 339.0255              180.9124            0.0001   1 0.0039  121
 125  66  0  0 0.0400        100.0000                 338.5692              180.2057            0.0001   1 0.0078  122
 126  67  0  0 0.0400        100.0000                 338.3437              178.7979            0.0001   1 0.0039  123
 127  68  0  0 0.0400        100.0000                 338.1195              178.0995            0.0001   1 0.0039  124
 128  69  0  0 0.0400        100.0000                 337.6734              177.4038            0.0001   1 0.0078  125
 129  70  0  0 0.0400        100.0000                 337.4528              176.0178            0.0001   1 0.0039  126
